"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"04016";3922;"Padre Claret S-N - Carlos Pereyra-Ramon y Cajal";"URB";"443570.133200399";"4478139.53832116"
"04017";3923;"Principe Vergara S-N - Sanchez Pacheco-Pl, Catalu�a";"URB";"442502.053105273";"4477583.02450013"
"04018";3924;"Doctor Arce S-N - Estevez-Pl, Catalu�a";"URB";"442320.032849799";"4477674.74492378"
"04019";3925;"Dr,Arce, 11 N-S - Nervion-Pl, Republica Argentina";"URB";"442015.313887375";"4477449.25780332"
"04020";3926;"Concha Espina, 57 E-O - Rodriguez Marin-Serrano";"URB";"442331.469190783";"4478116.8350236"
"04021";3927;"Pl, Catalu�a (Isleta Central) O-E - Dr,Arce-Principe Vergara";"URB";"442444.004392383";"4477775.78889457"
"04022";3928;"(TACTICO) Doctor Arce O-E - Delante Grupo 6";"URB";"442111.40114357";"4477482.79813282"
"04023";3604;"(TACTICO) Pl, Catalu�a S-N -  Extensiones Grupo 7";"URB";"442544.939030048";"4477791.2449953"
"04024";3929;"Gabriel-Galan S-N - Guerrero Mendoza-Ramon y Cajal";"URB";"443080.021543235";"4478143.02082175"
"04025";3605;"(TACTICO) Alhelies E-O - Alfonso XIII-Los Narcisos";"URB";"443479.187271731";"4478461.10434961"
"04026";10078;"Puerto Rico N-S - Uruguay -Pl, Virgen Guadalupana";"URB";"442804.137319837";"4478231.12086774"
"04027";10076;"Ram�n y Cajal E-O - Pardo Baz�n-Pl,Virgen Guadalupana";"URB";"442963.06583623";"4478133.35398158"
"04028";10079;"Marcenado S-N - San Ernesto -Pl,Virgen Guadalupana";"URB";"442813.628992329";"4478002.05478156"
"04FL12PM01";3544;"04FL12PM01";"M30";"437845.070012125";"4473907.41358753"
"04FL92PM01";3545;"04FL92PM01";"M30";"437119.831970443";"4473495.1268855"
"04FT14PM01";3542;"04FT14PM01";"M30";"437869.997418662";"4473908.65814864"
"04FT74PM01";1006;"04FT74PM01";"M30";"437526.638490494";"4473735.29258508"
"04TL40PM01";6900;"04TL40PM01";"M30";"444605.018839701";"4472829.70059244"
"04TL40PM02";6899;"04TL40PM02";"M30";"444605.576381259";"4472820.26360887"
"04TL40PM03";6901;"04TL40PM03";"M30";"444591.420784285";"4472829.40755642"
"04TL40PM04";6903;"04TL40PM04";"M30";"444594.676497733";"4472818.20322289"
"05001";3606;"Serrano, 218 N-S - Pl, Republica del Salvador-Concha Espina";"URB";"442262.191356546";"4478205.51795061"
"05002";3930;"(AFOROS) Serrano, 170 N-S - Nerion-Pl, Republica Argentina";"URB";"441957.749688425";"4477572.07936987"
"05003";3931;"Serrano, 113 N-S - Pablo Aranda -Pedro Valdivia";"URB";"441819.892172871";"4476938.8177294"
